,Unnamed: 0_x,pre,post,jsa_adj,n2w_adj,conserved_x,average_size_x,Unnamed: 0_y,synaptic_weight,conserved_y,average_size_y,dummy_size,jsa_adj-s,n2w_adj-s,ave_scaled_adjacency,pre_brittin,post_brittin,pre_moyle,post_moyle,brittin_strata,moyle_strata,brittin_bool_1,brittin_bool_2
101,101,M3L,M4,2802.0,2221.0,2,2511.5,47.0,1.0,1.0,1.0,1,-0.3121334984600962,-0.15824371105527793,-0.23518860475768705,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
102,102,M3L,MCL,1209.0,53.0,2,631.0,48.0,0.5,1.0,0.5,1,-0.5385998829248005,-0.6629093101213327,-0.6007545965230666,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
103,103,M3L,MI,2693.0,880.0,2,1786.5,49.0,6.0,1.0,6.0,1,-0.3276293150995518,-0.47040079977648613,-0.39901505743801896,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
104,104,M3L,NSML,9873.0,1768.0,2,5820.5,50.0,21.5,1.0,21.5,1,0.6931042947288082,-0.26369274997452274,0.21470577237714272,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
105,105,M3L,NSMR,1297.0,966.0,2,1131.5,0.0,0.0,0.0,0.0,0,-0.5260894988489099,-0.450381776935305,-0.48823563789210744,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
106,106,M3L,MCR,0.0,502.0,1,502.0,0.0,0.0,0.0,0.0,0,-0.7104755005128908,-0.5583913885435381,-0.6344334445282145,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
107,107,M3R,M4,1889.0,3157.0,2,2523.0,51.0,2.0,1.0,2.0,1,-0.44192873324746285,0.05963774684408889,-0.19114549320168697,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
108,108,M3R,MCL,355.0,17.0,2,186.0,52.0,1.0,1.0,1.0,1,-0.6600074738431041,-0.6712893661943853,-0.6656484200187447,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
109,109,M3R,MCR,712.0,142.0,2,427.0,0.0,0.0,0.0,0.0,0,-0.6092551202625018,-0.6421919492740639,-0.6257235347682828,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
110,110,M3R,MI,2290.0,550.0,2,1420.0,53.0,5.0,1.0,5.0,1,-0.3849211876289152,-0.5472179804461347,-0.46606958403752496,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
111,111,M3R,NSMR,9794.0,5902.0,2,7848.0,55.0,22.5,1.0,22.5,1,0.6818733817515881,0.6986170224143473,0.6902452020829677,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
112,112,M3R,NSML,0.0,2854.0,1,2854.0,54.0,0.5,1.0,0.5,1,-0.7104755005128908,-0.010894391770770244,-0.3606849461418305,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
113,113,M4,MCL,60.0,2270.0,2,1165.0,93.0,0.5,1.0,0.5,1,-0.7019456931884197,-0.14683752362251193,-0.4243916084054658,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
114,114,M4,MCR,3.0,216.0,2,109.5,0.0,0.0,0.0,0.0,0,-0.7100490101466672,-0.6249662784572335,-0.6675076443019503,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
115,115,M4,MI,3934.0,2342.0,2,3138.0,0.0,0.0,0.0,0.0,0,-0.15120446693841047,-0.1300774114764068,-0.14064093920740864,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
116,116,M4,NSML,10909.0,8878.0,2,9893.5,94.0,12.5,1.0,12.5,1,0.8403856345313403,1.3913683244533597,1.11587697949235,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
117,117,M4,NSMR,659.0,3610.0,2,2134.5,0.0,0.0,0.0,0.0,0,-0.6167897833991178,0.16508678576333372,-0.22585149881789207,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
118,118,MCL,MCR,13659.0,1809.0,2,7734.0,0.0,0.0,0.0,0.0,0,1.2313351369029266,-0.25414879722465733,0.48859316983913464,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
