,pre,post,cel_jsh_chemical.csv' with 87 nodes and 918 edges_weight,cel_n2u_chemical.csv' with 86 nodes and 1322 edges_weight,n930_head1.csv' with 89 nodes and 901 edges_weight,witvliet_2020_1_L1_chem.csv' with 76 nodes and 389 edges_weight,witvliet_2020_2_L1_chem.csv' with 77 nodes and 466 edges_weight,witvliet_2020_3_L1_chem.csv' with 77 nodes and 487 edges_weight,witvliet_2020_4_L1_chem.csv' with 81 nodes and 529 edges_weight,witvliet_2020_5_L2_chem.csv' with 84 nodes and 726 edges_weight,witvliet_2020_6_L3_chem.csv' with 85 nodes and 706 edges_weight,witvliet_2020_7_ad_chem.csv' with 88 nodes and 1056 edges_weight,witvliet_2020_8_ad_chem.csv' with 88 nodes and 1037 edges_weight,conserved,average_size
1654,AWB,AWC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1655,AWB,HSN,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,3.0
1656,AWB,OLQ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1657,AWB,URY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1658,AWB,SIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1659,AWB,SIBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1660,AWB,unk,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0
1661,RMG,ASH,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,5,1.8
1662,RMG,AVB,2.0,8.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,7,4.285714285714286
1663,RMG,AVE,2.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,7,3.142857142857143
1664,RMG,AVJ,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,6,2.1666666666666665
1665,RMG,BWM,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,26.0,48.0,28.0,6,19.833333333333332
1666,RMG,PVC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2.0
1667,RMG,RMD,40.0,45.0,34.0,5.0,12.0,8.0,12.0,17.0,12.0,16.0,18.0,11,19.90909090909091
1668,RMG,RMDV,32.0,38.0,51.0,4.0,3.0,5.0,2.0,4.0,6.0,9.0,6.0,11,14.545454545454545
1669,RMG,RMH,0.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,1.0,7,2.2857142857142856
1670,RMG,SIBV,3.0,7.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0,8,2.875
1671,RMG,SMB,2.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,7,2.857142857142857
1672,RMG,ADA,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,2.3333333333333335
1673,RMG,ALN,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,2.6666666666666665
1674,RMG,AVK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2,1.5
1675,RMG,RIG,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,2.0
1676,RMG,SAA,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4,3.25
1677,RMG,SIA,1.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,6,3.3333333333333335
1678,RMG,SIBD,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,5,3.0
1679,RMG,RIA,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3,1.3333333333333333
1680,RMG,RMDD,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5,2.4
1681,RMG,IL1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1.5
